date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:50	1599/1599	---M--	200	added ('OK')	application/javascript	etag:%2263f-506f3c83afc3e%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/pre-analysis.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/pre-analysis.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:50	906/906	---M--	200	added ('OK')	application/javascript	etag:%2238a-50369797007cb%22	https://soft.vub.ac.be/~lphilips/jspdg/agc.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/agc.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:50	4432/4432	---M--	200	added ('OK')	application/javascript	etag:%221150-5036979761697%22	https://soft.vub.ac.be/~lphilips/jspdg/lattice.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/lattice.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:51	17580/17580	---M--	200	added ('OK')	application/javascript	etag:%2244ac-503697976e5a0%22	https://soft.vub.ac.be/~lphilips/jspdg/lattice1.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/lattice1.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:51	13193/13193	---M--	200	added ('OK')	application/javascript	etag:%223389-503697977a509%22	https://soft.vub.ac.be/~lphilips/jspdg/setLattice.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/setLattice.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:51	2058/2058	---M--	200	added ('OK')	application/javascript	etag:%2280a-50369797007cb%22	https://soft.vub.ac.be/~lphilips/jspdg/address.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/address.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:51	18717/18717	---M--	200	added ('OK')	application/javascript	etag:%22491d-5036979761a7f%22	https://soft.vub.ac.be/~lphilips/jspdg/jsEsprima.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/jsEsprima.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:51	6850/6850	---M--	200	added ('OK')	application/javascript	etag:%221ac2-5036979779181%22	https://soft.vub.ac.be/~lphilips/jspdg/store.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/store.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:52	3735/3735	---M--	200	added ('OK')	application/javascript	etag:%22e97-503697973826e%22	https://soft.vub.ac.be/~lphilips/jspdg/graph.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/graph.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:52	12961/12961	---M--	200	added ('OK')	application/javascript	etag:%2232a1-503697976d9e8%22	https://soft.vub.ac.be/~lphilips/jspdg/pushdown.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/pushdown.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:52	1334/1334	---M--	200	added ('OK')	application/javascript	etag:%22536-5036979789351%22	https://soft.vub.ac.be/~lphilips/jspdg/tagAg.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/tagAg.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:52	63360/63360	---M--	200	added ('OK')	application/javascript	etag:%22f780-50369797566cf%22	https://soft.vub.ac.be/~lphilips/jspdg/jsCesk.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/jsCesk.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:52	9170/9170	---M--	200	added ('OK')	application/javascript	etag:%2223d2-503697972c6ed%22	https://soft.vub.ac.be/~lphilips/jspdg/defaultBenv.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/defaultBenv.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:53	806/806	---M--	200	added ('OK')	application/javascript	etag:%22326-506f3c83998c5%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/jipda.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/jipda.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:53	5711/5711	---M--	200	added ('OK')	application/javascript	etag:%22164f-5036979751c97%22	https://soft.vub.ac.be/~lphilips/jspdg/jipdatool.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/jipdatool.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:53	5947/5947	---M--	200	added ('OK')	application/javascript	etag:%22173b-503697351e567%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/js/esprimatool.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/js/esprimatool.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:54	579/579	---M--	200	added ('OK')	application/javascript	etag:%22243-5036973521448%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/js/jslinttool.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/js/jslinttool.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:54	144334/144334	---M--	200	added ('OK')	application/javascript	etag:%22233ce-503697336c01b%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/lib/jslint.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/lib/jslint.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:54	94840/94840	---M--	200	added ('OK')	application/javascript	etag:%2217278-4f2d26c9519e5%22	https://soft.vub.ac.be/~lphilips/jspdg/lib/web/jquery-1.7.2.min.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/lib/web/jquery-1.7.2.min.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:56	26701/26701	---M--	200	added ('OK')	application/javascript	etag:%22684d-506f3c83bfa27%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:56	22346/22346	---M--	200	added ('OK')	application/javascript	etag:%22574a-506f3c80699ed%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/Meteor_parse.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/Meteor_parse.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:56	2668/2668	---M--	200	added ('OK')	application/javascript	etag:%22a6c-506f3c837819b%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/Node_parse.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/Node_parse.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:57	4921/4921	---M--	200	added ('OK')	application/javascript	etag:%221339-506f3c815d469%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/JSify.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/JSify.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:57	24283/24283	---M--	200	added ('OK')	application/javascript	etag:%225edb-506f3c83752bb%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/Meteorify.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/Meteorify.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:57	10492/10492	---M--	200	added ('OK')	application/javascript	etag:%2228fc-506f3c837b84c%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/Nodeify.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/Nodeify.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:57	315862/315862	---M--	200	added ('OK')	application/javascript	etag:%224d1d6-4f2d26eacc43e%22	https://soft.vub.ac.be/~lphilips/jspdg/lib/web/ace/ace.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/lib/web/ace/ace.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:57	3255/3255	---M--	200	added ('OK')	application/javascript	etag:%22cb7-506f3c83afc3e%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/slice.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/slice.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:58	485/485	---M--	200	added ('OK')	application/javascript	etag:%221e5-506f3c837eb14%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/annotations.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/annotations.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:58	54664/54664	---M--	200	added ('OK')	application/javascript	etag:%22d588-503697460be23%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/lib/escodegen.browser.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/lib/escodegen.browser.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:58	4346/4346	---M--	200	added ('OK')	application/javascript	etag:%2210fa-506f3c91f3aa0%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/PDGgraph.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/PDGgraph.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
18:42:58	36915/36915	---M--	200	added ('OK')	application/javascript	etag:%229033-5036973522fa0%22	https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/js/jquery.panzoom.js	C:/My%20Web%20Sites/jspdg/soft.vub.ac.be/_lphilips/jspdg/stip/stip-web/js/jquery.panzoom.js	(from https://soft.vub.ac.be/~lphilips/jspdg/stip/stip-web/stip.html)
